job_id,start_time,phase,duration_sec,arrival_time_scaled,cpu_percent,estimated_temp_raw,estimated_temp_smoothed,memory_requested_MB,action_id,action_name,deadline_sec,elapsed_sec,sla_violation,migration_cost,reward
166,12:37:27,baseline,44.000000,3.000000,0.000000,40.000000,41.161708,512.000000,-1,fifo,52.800000,0.016679,0,0.000000,-4.116171
198,12:37:27,baseline,13.000000,3.000000,0.000000,40.000000,40.929367,4096.000000,-1,fifo,15.600000,0.013863,0,0.000000,-4.092937
396,12:37:27,baseline,43.000000,3.100000,0.000000,40.000000,40.743493,2048.000000,-1,fifo,51.600000,0.013870,0,0.000000,-4.074349
423,12:37:27,baseline,36.000000,3.100000,0.000000,40.000000,40.594795,2048.000000,-1,fifo,43.200000,0.013901,0,0.000000,-4.059479
409,12:37:27,baseline,37.000000,3.100000,6.200000,43.100000,41.095836,2048.000000,-1,fifo,44.400000,0.013874,0,0.000000,-4.109584
460,12:37:27,baseline,34.000000,3.100000,0.000000,40.000000,40.876669,256.000000,-1,fifo,40.800000,0.016805,0,0.000000,-4.087667
135,12:37:27,baseline,38.000000,3.100000,0.000000,40.000000,40.701335,512.000000,-1,fifo,45.600000,0.013999,0,0.000000,-4.070133
459,12:37:27,baseline,55.000000,3.100000,0.000000,40.000000,40.561068,4096.000000,-1,fifo,66.000000,0.013863,0,0.000000,-4.056107
318,12:37:27,baseline,45.000000,3.200000,0.000000,40.000000,40.448854,256.000000,-1,fifo,54.000000,0.013871,0,0.000000,-4.044885
361,12:37:27,baseline,5.000000,3.200000,0.000000,40.000000,40.359083,4096.000000,-1,fifo,6.000000,0.014163,0,0.000000,-4.035908
128,12:37:27,baseline,58.000000,3.200000,0.000000,40.000000,40.287267,256.000000,-1,fifo,69.600000,0.013876,0,0.000000,-4.028727
56,12:37:28,baseline,52.000000,3.200000,0.000000,40.000000,40.229813,1024.000000,-1,fifo,62.400000,0.013875,0,0.000000,-4.022981
378,12:37:28,baseline,18.000000,3.300000,0.000000,40.000000,40.183851,4096.000000,-1,fifo,21.600000,0.013902,0,0.000000,-4.018385
151,12:37:28,baseline,53.000000,3.300000,0.000000,40.000000,40.147081,4096.000000,-1,fifo,63.600000,0.013872,0,0.000000,-4.014708
331,12:37:28,baseline,33.000000,3.400000,0.000000,40.000000,40.117664,256.000000,-1,fifo,39.600000,0.014845,0,0.000000,-4.011766
402,12:37:28,baseline,38.000000,3.400000,0.000000,40.000000,40.094132,2048.000000,-1,fifo,45.600000,0.013902,0,0.000000,-4.009413
93,12:37:28,baseline,27.000000,3.400000,0.000000,40.000000,40.075305,4096.000000,-1,fifo,32.400000,0.013883,0,0.000000,-4.007531
97,12:37:28,baseline,22.000000,3.500000,0.000000,40.000000,40.060244,4096.000000,-1,fifo,26.400000,0.014068,0,0.000000,-4.006024
70,12:37:28,baseline,49.000000,3.500000,0.000000,40.000000,40.048195,2048.000000,-1,fifo,58.800000,0.013905,0,0.000000,-4.004820
293,12:37:28,baseline,33.000000,3.600000,0.000000,40.000000,40.038556,2048.000000,-1,fifo,39.600000,0.016779,0,0.000000,-4.003856
330,12:37:28,baseline,36.000000,3.600000,0.000000,40.000000,40.030845,1024.000000,-1,fifo,43.200000,0.014116,0,0.000000,-4.003085
268,12:37:28,baseline,41.000000,3.600000,11.100000,45.550000,41.134676,1024.000000,-1,fifo,49.200000,0.013900,0,0.000000,-4.113468
204,12:37:28,baseline,6.000000,3.700000,0.000000,40.000000,40.907741,1024.000000,-1,fifo,7.200000,0.014812,0,0.000000,-4.090774
240,12:37:28,baseline,44.000000,3.800000,0.000000,40.000000,40.726193,512.000000,-1,fifo,52.800000,0.013875,0,0.000000,-4.072619
182,12:37:28,baseline,44.000000,3.800000,0.000000,40.000000,40.580954,1024.000000,-1,fifo,52.800000,0.016043,0,0.000000,-4.058095
16,12:37:28,baseline,25.000000,3.900000,0.000000,40.000000,40.464763,512.000000,-1,fifo,30.000000,0.015400,0,0.000000,-4.046476
338,12:37:29,baseline,25.000000,3.900000,0.000000,40.000000,40.371811,1024.000000,-1,fifo,30.000000,0.013875,0,0.000000,-4.037181
18,12:37:29,baseline,33.000000,4.000000,0.000000,40.000000,40.297449,256.000000,-1,fifo,39.600000,0.014502,0,0.000000,-4.029745
341,12:37:29,baseline,58.000000,4.000000,0.000000,40.000000,40.237959,256.000000,-1,fifo,69.600000,0.013877,0,0.000000,-4.023796
21,12:37:29,baseline,32.000000,4.000000,0.000000,40.000000,40.190367,2048.000000,-1,fifo,38.400000,0.016851,0,0.000000,-4.019037
199,12:37:29,baseline,26.000000,4.000000,0.000000,40.000000,40.152294,256.000000,-1,fifo,31.200000,0.013903,0,0.000000,-4.015229
383,12:37:29,baseline,40.000000,4.100000,0.000000,40.000000,40.121835,256.000000,-1,fifo,48.000000,0.013868,0,0.000000,-4.012183
415,12:37:29,baseline,42.000000,4.100000,0.000000,40.000000,40.097468,1024.000000,-1,fifo,50.400000,0.016594,0,0.000000,-4.009747
162,12:37:29,baseline,45.000000,4.100000,0.000000,40.000000,40.077974,2048.000000,-1,fifo,54.000000,0.013902,0,0.000000,-4.007797
145,12:37:29,baseline,52.000000,4.200000,7.100000,43.550000,40.772379,256.000000,-1,fifo,62.400000,0.016586,0,0.000000,-4.077238
403,12:37:29,baseline,40.000000,4.300000,0.000000,40.000000,40.617904,4096.000000,-1,fifo,48.000000,0.013938,0,0.000000,-4.061790
349,12:37:29,baseline,32.000000,4.300000,0.000000,40.000000,40.494323,2048.000000,-1,fifo,38.400000,0.013909,0,0.000000,-4.049432
169,12:37:29,baseline,9.000000,4.300000,0.000000,40.000000,40.395458,2048.000000,-1,fifo,10.800000,0.013871,0,0.000000,-4.039546
14,12:37:29,baseline,38.000000,4.300000,0.000000,40.000000,40.316367,2048.000000,-1,fifo,45.600000,0.013891,0,0.000000,-4.031637
257,12:37:29,baseline,38.000000,4.400000,5.000000,42.500000,40.753093,1024.000000,-1,fifo,45.600000,0.013901,0,0.000000,-4.075309
287,12:37:29,baseline,55.000000,4.400000,0.000000,40.000000,40.602475,512.000000,-1,fifo,66.000000,0.013875,0,0.000000,-4.060247
290,12:37:30,baseline,31.000000,4.500000,0.000000,40.000000,40.481980,256.000000,-1,fifo,37.200000,0.013868,0,0.000000,-4.048198
462,12:37:30,baseline,44.000000,4.500000,0.000000,40.000000,40.385584,2048.000000,-1,fifo,52.800000,0.013902,0,0.000000,-4.038558
262,12:37:30,baseline,56.000000,4.500000,0.000000,40.000000,40.308467,256.000000,-1,fifo,67.200000,0.014035,0,0.000000,-4.030847
252,12:37:30,baseline,36.000000,4.600000,0.000000,40.000000,40.246774,256.000000,-1,fifo,43.200000,0.013875,0,0.000000,-4.024677
485,12:37:30,baseline,15.000000,4.600000,0.000000,40.000000,40.197419,4096.000000,-1,fifo,18.000000,0.014672,0,0.000000,-4.019742
487,12:37:30,baseline,18.000000,4.600000,0.000000,40.000000,40.157935,256.000000,-1,fifo,21.600000,0.013879,0,0.000000,-4.015794
224,12:37:30,baseline,9.000000,4.600000,0.000000,40.000000,40.126348,512.000000,-1,fifo,10.800000,0.016582,0,0.000000,-4.012635
376,12:37:30,baseline,57.000000,4.600000,0.000000,40.000000,40.101078,256.000000,-1,fifo,68.400000,0.013950,0,0.000000,-4.010108
22,12:37:30,baseline,59.000000,4.700000,15.400000,47.700000,41.620863,4096.000000,-1,fifo,70.800000,0.014258,0,0.000000,-4.162086
60,12:37:30,baseline,23.000000,4.700000,0.000000,40.000000,41.296690,256.000000,-1,fifo,27.600000,0.015079,0,0.000000,-4.129669
55,12:37:30,baseline,24.000000,4.700000,0.000000,40.000000,41.037352,1024.000000,-1,fifo,28.800000,0.013900,0,0.000000,-4.103735
373,12:37:30,baseline,41.000000,4.700000,0.000000,40.000000,40.829882,2048.000000,-1,fifo,49.200000,0.013877,0,0.000000,-4.082988
15,12:37:30,baseline,19.000000,4.700000,0.000000,40.000000,40.663905,2048.000000,-1,fifo,22.800000,0.014085,0,0.000000,-4.066391
